Fuel_Type,Year,Production,Consumption,Import,Export,
Coal,1973,1726.50,1183.80,0.00,836.90,
Coal,1974,1970.30,1251.10,0.00,950.30,
Coal,1975,1947.60,1235.90,0.00,892.70,
Coal,1976,2145.80,1291.60,0.00,1038.40,
Coal,1977,2200.00,1308.10,0.00,1111.00,
Coal,1978,2229.20,1359.70,0.00,1118.70,
Coal,1979,2285.90,1404.50,0.00,1258.60,
Coal,1980,2637.30,1429.10,0.00,1377.20,
Coal,1981,2798.20,1452.10,0.00,1371.40,
Coal,1982,2987.80,1370.70,0.00,1608.40,
Coal,1983,3143.10,1399.50,0.00,1913.90,
Coal,1984,3572.70,1506.50,0.00,2398.00,
Coal,1985,3946.80,1503.60,0.00,2558.70,
Coal,1986,4360.10,1585.50,0.00,2718.20,
Coal,1987,4035.40,1640.70,0.00,2910.40,
Coal,1988,4426.20,1769.20,0.00,2834.40,
Coal,1989,4684.70,1764.10,0.00,2965.60,
Coal,1990,4880.10,1800.40,0.00,3217.00,
Coal,1991,5177.40,1846.40,0.00,3502.20,
Coal,1992,5244.80,1838.20,0.00,3660.60,
Coal,1993,5260.80,1871.70,0.00,3668.10,
Coal,1994,5665.20,1923.50,0.00,3882.80,
Coal,1995,5746.40,1977.40,0.00,3947.70,
Coal,1996,6139.10,2054.80,0.00,4147.20,
Coal,1997,6616.50,2168.30,0.00,4612.90,
Coal,1998,6662.90,2210.80,0.00,4805.80,
Coal,1999,7046.10,2220.40,0.00,5013.40,
Coal,2000,7548.60,2231.90,0.00,5517.60,
Coal,2001,7951.80,2275.60,0.00,5630.30,
Coal,2002,8019.20,2290.20,2.05,5934.22,
Coal,2003,8261.85,2375.25,0.99,6228.17,
Coal,2004,8792.07,2420.40,3.05,6614.71,
Coal,2005,8885.96,2458.61,4.20,6611.55,
Coal,2006,9360.12,2474.36,3.37,6951.67,
Coal,2007,9383.53,2458.09,1.97,7157.16,
Coal,2008,9760.80,2470.47,1.43,7384.43,
Coal,2009,10518.70,2370.06,1.28,8304.57,
Coal,2010,9981.30,2275.54,4.72,8055.01,
Coal,2011,10629.93,2207.26,1.99,8516.06,
Coal,2012,11546.31,2062.08,0.67,9475.82,
Coal,2013,12467.61,1966.90,1.23,10577.52,
Coal,2014,12893.14,2011.40,2.87,11067.15,
Coal,2015,12726.04,2058.59,1.66,11001.10,
Coal,2016,12745.99,2033.53,2.60,10685.81,
Coal,2017,12843.40,1944.66,5.74,10760.60,
Coal,2018,13038.07,1889.84,4.55,11131.28,
Coal,2019,12742.24,1802.38,7.42,11061.75,
Coal,2020,11789.66,1756.32,3.56,10323.58,
Coal,2021,11631.34,1674.08,2.64,10173.48,
Coal,2022,11184.41,1605.78,5.07,9606.14,
Oil,1973,858.10,1230.10,405.20,0.00,
Oil,1974,856.00,1231.90,393.60,0.00,
Oil,1975,883.30,1233.70,375.50,0.00,
Oil,1976,910.10,1289.80,391.50,0.00,
Oil,1977,938.70,1331.10,434.00,7.80,
Oil,1978,921.20,1320.40,402.80,13.70,
Oil,1979,877.30,1312.80,435.90,4.70,
Oil,1980,854.40,1261.70,443.10,3.20,
Oil,1981,828.30,1276.10,482.20,1.60,
Oil,1982,816.60,1235.60,455.90,2.30,
Oil,1983,992.60,1260.90,331.00,39.10,
Oil,1984,1145.40,1267.50,282.30,215.30,
Oil,1985,1174.10,1247.20,239.40,186.90,
Oil,1986,1165.60,1233.40,298.90,211.00,
Oil,1987,1156.90,1321.60,370.60,238.80,
Oil,1988,1045.40,1345.70,466.60,181.90,
Oil,1989,1183.80,1386.30,449.00,266.50,
Oil,1990,1182.30,1421.40,518.20,326.40,
Oil,1991,1158.40,1440.00,593.30,332.00,
Oil,1992,1136.00,1494.80,751.60,373.60,
Oil,1993,1071.00,1518.10,785.40,352.90,
Oil,1994,1154.00,1562.30,798.70,423.50,
Oil,1995,1119.30,1623.50,917.30,403.30,
Oil,1996,1148.80,1648.00,958.50,458.80,
Oil,1997,1256.60,1671.50,968.10,547.00,
Oil,1998,1032.20,1675.80,1150.50,528.80,
Oil,1999,1386.20,1672.80,1042.40,772.50,
Oil,2000,1432.10,1702.00,1019.50,889.60,
Oil,2001,1335.70,1674.80,1056.80,885.60,
Oil,2002,1232.83,1629.47,1082.00,775.16,
Oil,2003,1031.40,1530.96,909.43,648.45,
Oil,2004,938.78,1543.69,1008.35,582.05,
Oil,2005,856.61,1409.19,944.97,481.95,
Oil,2006,1031.11,1505.67,980.85,590.70,
Oil,2007,957.20,1464.63,1014.85,591.08,
Oil,2008,1028.06,1480.73,940.49,613.74,
Oil,2009,995.10,1437.92,1055.90,668.38,
Oil,2010,946.55,1632.78,1229.65,725.97,
Oil,2011,888.51,1557.52,1141.84,644.68,
Oil,2012,784.93,1551.48,1142.42,583.17,
Oil,2013,745.16,1450.19,1071.13,548.22,
Oil,2014,705.26,1265.57,939.39,560.64,
Oil,2015,680.62,1105.74,763.95,513.98,
Oil,2016,596.90,1073.06,788.00,473.74,
Oil,2017,572.16,1133.59,866.52,482.27,
Oil,2018,676.87,1130.39,841.51,545.35,
Oil,2019,798.54,1014.50,695.65,625.61,
Oil,2020,718.40,844.24,547.01,593.03,
Oil,2021,722.96,600.40,386.59,622.89,
Oil,2022,625.84,572.48,362.38,604.44,
LPG,1973,53.80,20.40,0.00,53.00,
LPG,1974,57.60,21.30,0.00,53.40,
LPG,1975,59.10,23.70,0.00,52.10,
LPG,1976,67.00,23.90,0.00,60.20,
LPG,1977,77.30,23.50,0.00,76.50,
LPG,1978,84.00,24.60,0.00,80.90,
LPG,1979,82.50,28.00,0.00,73.80,
LPG,1980,79.10,30.30,0.00,68.60,
LPG,1981,80.40,32.00,0.00,70.00,
LPG,1982,77.10,32.50,0.00,62.30,
LPG,1983,83.00,39.00,0.20,75.60,
LPG,1984,102.40,50.20,0.10,69.40,
LPG,1985,106.40,56.50,0.00,78.90,
LPG,1986,104.10,57.60,1.00,70.90,
LPG,1987,104.00,65.80,1.10,63.60,
LPG,1988,99.70,69.70,1.00,57.70,
LPG,1989,100.30,78.50,2.20,52.60,
LPG,1990,94.00,82.50,0.90,40.00,
LPG,1991,95.10,88.50,1.20,41.60,
LPG,1992,100.10,98.80,2.90,39.30,
LPG,1993,100.10,107.70,4.10,34.20,
LPG,1994,95.60,117.40,6.70,31.50,
LPG,1995,96.70,116.20,10.50,38.90,
LPG,1996,100.40,108.30,14.90,64.10,
LPG,1997,117.60,113.60,12.90,74.80,
LPG,1998,103.50,117.40,12.80,63.90,
LPG,1999,115.70,118.50,13.30,73.40,
LPG,2000,107.50,100.20,16.30,71.60,
LPG,2001,122.20,102.20,15.10,82.50,
LPG,2002,126.40,100.21,8.07,86.23,
LPG,2003,125.26,101.86,21.19,78.75,
LPG,2004,124.96,96.68,14.59,76.80,
LPG,2005,127.49,110.37,16.17,75.59,
LPG,2006,122.85,104.23,20.19,76.26,
LPG,2007,107.21,101.48,26.05,69.90,
LPG,2008,106.09,101.77,27.04,67.49,
LPG,2009,95.34,97.70,28.80,74.96,
LPG,2010,90.25,99.32,22.83,66.71,
LPG,2011,87.79,99.45,26.28,57.10,
LPG,2012,82.71,97.83,23.59,64.41,
LPG,2013,90.40,96.07,18.76,66.39,
LPG,2014,80.20,91.55,24.62,57.02,
LPG,2015,73.23,86.00,23.60,53.71,
LPG,2016,72.68,69.61,25.78,60.27,
LPG,2017,73.19,54.63,21.42,61.70,
LPG,2018,105.45,50.23,20.61,80.28,
LPG,2019,161.16,46.71,19.82,141.31,
LPG,2020,146.53,43.32,16.86,128.89,
LPG,2021,168.28,44.33,20.52,149.16,
